Univ_ZhT_Strd,Univ_Eng,Status_ZhT,Status_Eng
江蘇醫學院,Jiangsu Medical College,,
江蘇醫科大學,Jiangsu Medical University,,
江蘇警官學校,Jiangsu Police Academy,,
江蘇省立農業學校,Jiangsu Provincial Agricultural School,,
江蘇省立商業學校,Jiangsu Provincial Business School,,
江蘇省立常州中學,Jiangsu Provincial Changzhou Middle School,,
江蘇省立第五中學,Jiangsu Provincial Fifth Middle School,,
江蘇省立第五師范學校,Jiangsu Provincial Fifth Normal School,,
江蘇省立第一商業學校,Jiangsu Provincial First Commercial School,,
江蘇省立水產學校,Jiangsu Provincial Fisheries School,,
江蘇省立第四中學,Jiangsu Provincial Fourth Middle School,,
江蘇省立第四師范學校,Jiangsu Provincial Fourth Normal School,,
江蘇省立淮陰農業學校,Jiangsu Provincial Huaiyin Agricultural School,,
江蘇省立淮陰師範學校,Jiangsu Provincial Huaiyin Normal School,,
江蘇省立工業學校,Jiangsu Provincial Industrial School,,
江蘇省立寧屬優級師范,Jiangsu Provincial Ningzhou Superior Normal School,,
江蘇省立師範學校,Jiangsu Provincial Normal School,,
江蘇省立民眾教育院,Jiangsu Provincial People's Education Institute,,
江蘇省立第二農業學校,Jiangsu Provincial Second Agricultural School,,
江蘇省立第二師范學校,Jiangsu Provincial Second Normal School,,
江蘇省立蠶絲專科學校,Jiangsu Provincial Silk College,,
江蘇省立第六中學,Jiangsu Provincial Sixth Middle School,,
江蘇省立蘇州農業學校,Jiangsu Provincial Suzhou Agricultural School,,
江蘇公立醫學專門學校,Jiangsu Public Medical College,,
江蘇公立南京工業專門學校,Jiangsu Public Nanjing Industrial College,,
江蘇公立蘇州工業專門學校,Jiangsu Public Suzhou Industrial College,,
江西陸軍講武堂,Jiangxi Army Lecture Hall,,
江西高等學堂,Jiangxi Higher School,,
江西九江但福德醫院護士學校,Jiangxi Jiujiang Danford Hospital Nursing School,,
江西法政專門學校,Jiangxi Law and Politics Vocational School,,
江西私立法政專門學校,Jiangxi Private School of Law and Politics,,
江西省立農藝專科學校,Jiangxi Provincial Agricultural College,,
江西省立助產學院,Jiangxi Provincial College of Midwifery,,
江西省立第五師範學校,Jiangxi Provincial Fifth Normal School,,
江西省立第一師範學校,Jiangxi Provincial First Normal School,,
江西省立第一職業學校,Jiangxi Provincial First Vocational School,,
江西省立工業專科學校,Jiangxi Provincial Industrial College,,
江西省立醫學專科學校,Jiangxi Provincial Medical College,,
江西省立鄉村師範學校,Jiangxi Provincial Rural Normal School,,
江西省立第七師範學校,Jiangxi Provincial Seventh Normal School,,
江西省立第六師範學校,Jiangxi Provincial Sixth Normal School,,
江西省立第三師範學校,Jiangxi Provincial Third Normal School,,
江西省立獸醫專科學校,Jiangxi Provincial Veterinary College,,
江西公立農業專門學校,Jiangxi Public Agricultural College,,
江西公立商業專門學校,Jiangxi Public Commercial College,,
江西公立工業專校,Jiangxi Public Industrial School,,
江西公立法政專門學校,Jiangxi Public Industrial School,,
江西女子職業學校,Jiangxi Women's Vocational School,,
江陰縣立師範學校,Jiangyin County Normal School,,
交通大學北平分校,Jiaotong University Beijing Branch,,
交通大學唐山工學院,Jiaotong University Tangshan Institute of Technology,,
焦作工學院,Jiaozuo Institute of Technology,,
嘉義高工學校,Jiayi High School of Technology,,
嘉應大學,Jiaying University,,
吉長鐵路學校,Jichang Railway School,,
吉林梨樹師範學校,Jilin Lishu Normal School,,
吉林省立第一師範學校,Jilin Provincial First Normal School,,
吉林省立第四師範學校,Jilin Provincial Fourth Normal School,,
吉林省立女子師範學校,Jilin Provincial Girls' Normal School,,
吉林省立工業學校,Jilin Provincial Industrial School,,
吉林省立醫學校,Jilin Provincial Medical School,,
吉林省立師範學校,Jilin Provincial Normal School,,
吉林省公署警務廳,Jilin Provincial Office Police Department,,
吉林省立警官學校,Jilin Provincial Police Academy,,
吉林省立第二師範學校,Jilin Provincial Second Normal School,,
吉林省立第三師範學校,Jilin Provincial Third Normal School,,
吉林公立法政專門學校,Jilin Public School of Law and Politics,,
吉林同文工業學校,Jilin Tongwen Industrial School,,
吉林大學,Jilin University,,
濟南軍學,Jinan Military Science,,
暨南大學,Jinan University,,
曁南大學,Jinan University,,
金城女子專門學校,Jincheng Girls' College,,
金川江防軍軍官學校,Jinchuan River Defense Military Academy,,
競立學校,Jingli Institute,,
京師同文館,Jingshi Language Institute,,
金陵機器局,Jinling Machinery Bureau,,
金陵軍官學校,Jinling Military Academy,,
金陵女子大學,Jinling Women's College,,
金州農業學校,Jinzhou Agricultural School,,
錦州農業學校,Jinzhou Agricultural School,,
錦州師範學校,Jinzhou Normal School,,
金州地方警察學校,Jinzhou Police Academy,,
錦州女子高校,Jinzhou Women's College,,
啓耳大學,Kaier University,,
開封高級職業學校,Kaifeng Senior Vocational School,,
開封大學堂,Kaifeng University,,
開原公學校,Kaiyuan public school,,
經緯學校,Keei School,,
匡溪藝術學院,Kuangxi Academy of Art,,
雲南省昆華高等工業學校,Kunhua Higher Technical School of Yunnan Province,,
勞動大學,Labor University,,
湖濱大學,Lakeside University,,
雷士德工學院,Leishi Institute of Technology,,
雷士德工藝學院,Lester Institute,,
兩湖書院,Lianghu Academy,,
兩湖優級師范學校,Lianghu Superior Normal School,,
兩江女子體育師範學校,Liangjiang Women's Sports Normal School,,
濂溪師范學校,Lianxi Normal School,,
遼寧公主嶺農業學校,Liaoning Gongzhuling Agricultural School,,
遼寧高等女子學校,Liaoning Higher Girls' School,,
遼寧桓仁縣師範學校,Liaoning Huanren County Normal School,,
遼寧開原師範學校,Liaoning Kaiyuan Normal School,,
遼寧醫學院,Liaoning Medical College,,
遼寧私立坤光女子學校,Liaoning Private Kunguang Girls' School,,
遼寧省立第一工科學校,Liaoning Provincial First Engineering School,,
遼寧省立第一師範學校,Liaoning Provincial First Normal School,,
遼寧省立女子師範學校,Liaoning Provincial Girls' Normal School,,
遼寧省立文學專門校,Liaoning Provincial Literature College,,
遼寧省立第三師範學校,Liaoning Provincial Third Normal School,,
遼寧同善醫科專門學校,Liaoning Tongshan Medical College,,
遼寧同澤學校,Liaoning Tongze School,,
遼陽日本甲種商業學校,Liaoyang Japanese Class A Business School,,
遼陽師範學校,Liaoyang Normal School,,
遼陽女子師範學校,Liaoyang Women's Normal School,,
遼源師範學校,Liaoyuan Normal School,,
自由學園北京生活學校,Liberty Academy Beijing Life School,,
山西省立川至醫學專科學校,Lichuanzhi Medical College,,
遼東省立復縣師範學校,Lifu County Normal School in Liaodong Province,,
醴陵遵道大學,Liling Zundao University,,
廣東佛學院嶺東學院,Lingdong College of Guangdong Buddhist University,,
嶺南大學,Lingnan University,,
臨江師範學院,Linjiang Normal University,,
六合縣立中學,Liuhu County Middle School,,
立信會計專科學校,Lixin Accounting Vocational School,,
龍門師範學堂,Longmen Normal School,,
洛維其騎兵學校,Loweche Cavalry School,,
洛威治軍校,Lowwich Military Academy,,
潞河書院,Luhe Academy,,
盧那察爾斯基戲劇學院,Lunacharsky Drama Academy,,
廬山訓練團,Lushan Training Corps,,
旅順高等公學校,Lüshun High School,,
旅順高等女學校,Lüshun High School for Girls,,
旅順師範學校,Lüshun Normal School,,
旅順警察練習所,Lüshun Police Training Center,,
旅順工科大學,Lüshun University of Technology,,
澳門明德產科專校,Macau Mingde Obstetrics College,,
機床工具學院,Machine Tool College,,
機床研究院,Machine Tool Research Institute,,
大陸商專,Mainland Business School,,
滿洲大陸專門學校,Manchuria Continental College,,
滿洲大同學院,Manchuria Datong University,,
滿洲英語專門學校,Manchuria English College,,
滿洲醫科大學,Manchuria Medical University,,
滿洲法政學院,Manchurian College of Law and Politics,,
馬列學院,Marxist College,,
馬列主義研究院,Marxist-Leninist Institute,,
馬列主義研究室,Marxist-Leninist Research Office,,
法師養成校,Master training school,,
法師大學,Master University,,
機械化騎兵專門學校,Mechanized Cavalry Academy,,
醫科大學,Medical University,,
梅縣縣立師範學校,Meixian County Normal School,,
蒙旗師範學校,Mengqi Normal School,,
軍校特訓班,Military Academy Special Training Class,,
軍醫學校,Military Medical School,,
軍事學校,Military school,,
軍需學校,Military Supply School,,
軍事訓練班,Military training class,,
明光高中,Mingguang High School,,
明強中學,Mingqiang Middle School,,
內政部警官學校,Minister of Interior Police School,,
交通部電報高等學堂,Ministry of Communications and Telegraph College,,
交通部立上海工業專門學校,Ministry of Communications Shanghai Institute of Technology,,
財政部財政專門學校,Ministry of Finance Finance College,,
外交部俄文法政專門學校,Ministry of Foreign Affairs Russian Law and Politics Vocational School,,
內政部警官高等學校,Ministry of Internal Affairs Police College,,
司法部立司法講習所,Ministry of Justice Law Training Institute,,
岷江大學,Minjiang University,,
民立中學,Minli Middle School,,
民立高中,Minli Senior High School,,
閩南佛學院,Minnan Buddhist College,,
蒙古崇正師範學校,Mongolia Chongzheng Normal School,,
蒙古學院,Mongolian Academy,,
蒙古指導訓練所,Mongolian Guidance and Training Institute,,
蒙古青年學校,Mongolian Youth School,,
慕漢尼航空學校,Muhani Aviation School,,
音樂專科學校,Music Academy,,
南昌師範學校,Nanchang Normal School,,
南昌大學,Nanchang University,,
南充文商專門學校,Nanchong Commerce and Trade School,,
南京美術專門學校,Nanjing Academy of Fine Arts,,
南京中央體育專門學校,Nanjing Central Sports College,,
南京文藝專科學校,Nanjing College of Literature and Art,,
南京大陸商業專門學校,Nanjing Continental Commercial College,,
南京高等商業學院,Nanjing Higher Commercial College,,
南京高等師范學校,Nanjing Higher Normal School,,
南京軍官學校,Nanjing Military Academy,,
南京臨大,Nanjing Temporary University,,
南京女子法政講習所,Nanjing Women's Law and Politics Workshop,,
南京女子體育師範學校,Nanjing Women's Sports Normal School,,
南開大學,Nankai University,,
南京大學,Nanking University,,
南通農科大學,Nantong Agricultural University,,
南通甲種農業學校,Nantong Class A Agricultural School,,
南通學院,Nantong College,,
南通縣立女子師範學校,Nantong County Girls' Normal School,,
南通私立紡織專門學校,Nantong Private Textile College,,
南通代用師範學校,Nantong Substitute Normal School,,
南通大學,Nantong university,,
南洋高級商科學校,Nanyang Advanced Business School,,V
南洋高級商業專門學校,Nanyang Advanced Commercial School,,
南陽高級商業學校,Nanyang Advanced Commercial School,,
南陽中學,Nanyang High School,,
南洋陸師學堂,Nanyang Lushi College,,
南洋醫學院,Nanyang Medical College,,
南洋中學,Nanyang Middle School,,
南洋公學,Nanyang Public School,,
南洋路礦學校,Nanyang Road and Mining School,,
南洋路廣專門學校,Nanyang Road Guang Vocational School,,
南洋路礦專校,Nanyang Road Mining School,,
南洋路礦專門學校,Nanyang Road Mining Vocational School,,
南洋路鏞專門學校,Nanyang Road Yong Vocational School,,
南洋大學,Nanyang University,,
南國藝術學院,National Art Academy,,
國立北京美術專門學校,National Beijing Academy of Fine Arts,,
國立北京藝術專門學校,National Beijing Art College,,
國立北京法政大學,National Beijing University of Law and Politics,,
國立北京工業大學,National Beijing University of Technology,,
國立北京女子大學,National Beijing Women's University,,
國防醫學院,National Defense Medical College,,
民國女子工藝學校,National Girls' Craft School,,
國立廣東法科學院,National Guangdong Academy of Law,,
國立廣東高等師範學校,National Guangdong Higher Normal School,,
國立杭州藝術專科學校,National Hangzhou Art College,,
國立統計學院,National Institute of Statistics,,
國立音樂專科學校,National Music Conservatory,,
國立西北大學,National Northwest University,,
全國人員訓練所,National Personnel Training Institute,,
國家物理實驗室,National Physical Laboratory,,
國立政治大學,National Political University,,
國家血清研究所,National Serum Institute,,
國立沈陽高等師範學校,National Shenyang Higher Normal School,,
民國大學,National University,,
國立商科大學,National University of Commerce,,
國立武昌高等師範學校,National Wuchang Higher Normal School,,
海軍兩棲作戰參謀班,Naval Amphibious Operations Staff,,
海軍高級專科學校,Naval High School,,
海軍水雷學校,Naval Mine School,,
海軍雷電學校,Naval Raiden School,,
海軍學校,Naval school,,
海軍魚雷航海信號槍炮學校,Naval Torpedo Nautical Signal Gun School,,
海軍大學,Naval University,,
海軍魚雷槍炮學校,Navy torpedo gun school,,
納薩瑞斯女子大學,Nazareth Women's University,,
日本大學,Nihon University,,
寧波中山公學,Ningbo Zhongshan Public School,,
寧屬師范學堂,Ningfu Normal School,,
寧垣法政學校,Ningyuan Law and Politics School,,
師範學院,Normal university,,
華北法商學院,North China Law Business School,,
華北協和女醫校,North China Union Medical College for Women,,
北京華北大學,North China University,,
北滿師範大學,North Manchuria Normal University,,
北滿鐵路技術傳習所,North Manchurian Railway Technical Training Institute,,
東北陸軍講武堂,Northeast Army Lecture Hall,,
東北航警學校,Northeast Aviation Police School,,
東北交通大學,Northeast Jiaotong University,,
東北商船專科學校,Northeast Merchant Marine College,,
東北講武堂,Northeast Military Academy,,
東北大學,Northeast University,,
北方高等學校,Northern higher school,,
西北農學院,Northwest Agricultural College,,
西北陸軍幹部學校,Northwest Army Cadre School,,
西北陸軍教練所,Northwest Army Training Institute,,
西北工學院,Northwest Institute of Technology,,
西北師範學院,Northwest Normal University,,
西北軍官教導團,Northwest Officers' Teaching Corps,,
西北大學,Northwest University,,
西北醫學院,Northwestern Medical School,,
西北聯合大學,Northwestern Union University,,
兵工學校,Ordnance School,,
東方學院,Oriental Academy,,
東方藝專,Oriental Art School,,
東方語言學院,Oriental Language Institute,,
東方語文專科學校,Oriental Language School,,
太平洋學院,Pacific College,,
帕爾瑪學校,Palma School,,
潘陽英國長老會醫科專門學校,Panyang Presbyterian Medical College,,
愛國女學校,patriotic girls' school,,
愛國女校,Patriotic Girls' School,,
培華學校,Peihua School,,
彭德山學院,Pengdeshan College,,
彼得堡大學,Petersburg University,,
平陽縣高等學堂,Pingyang County College of Higher Learning,,
奉天省公署警務廳,Police Department of Fengtian Provincial Office,,
黑龍江省公署警務廳,Police Department of Heilongjiang Provincial Office,,
政治大學,Political University,,
滿洲留學生豫備學校,Preparatory School for International Students in Manchuria,,
私立奉天醫科專門學校,Private Fengtian Medical College,,
私立福建法政專門學校,Private Fujian School of Law and Politics,,
私立廣東公醫醫學專門學校,Private Guangdong Public Medical College,,
私立江蘇女子職業學校,Private Jiangsu Women's Vocational School,,
私立立信會計專科學校,Private Lixin Accounting Vocational School,,
私立南通醫學專門學校,Private Nantong Medical College,,
私立輕陽學院,Private Qingyang College,,
私立蘇州美術專科學校,Private Suzhou Academy of Fine Arts,,
私立同濟醫工專門學校,Private Tongji Medical and Engineering College,,
私立武昌藝術專科學校,Private Wuchang Art College,,
私立武昌文華圖書館學專科學校,Private Wuchang Wenhua College of Library Science,,
私立無錫國學專修學校,Private Wuxi Chinese Studies School,,
私立豫章法政專門學校,Private Yuzhang College of Law and Politics,,
私立正風文學院,Private Zhengfeng Literature College,,
私立仲愷農工學校,Private Zhongkai Agricultural and Industrial School,,
省立女子高等學校,Provincial Girls' Higher School,,
省立淮陽師範學校,Provincial Huaiyang Normal School,,
普洱中華學校,Pu'er Chinese School,,
浦東中學,Pudong Middle School,,
齊魯大學,Qilu University,,
啟明女校發文專科,Qiming Girls' School Specialized Department,,
啟明女學,Qiming Women's School,,
青島學院商業學校,Qingdao College Business School,,
青島高等女學校,Qingdao Higher Girls' School,,
青島醫學專門學校,Qingdao Medical College,,
青島中德大學,Qingdao Sino-German University,,
淸華學校,Qinghua University,,V
青山學院,Qingshan College,,
清源師範學校,Qingyuan Normal School,,
齊齊哈爾高等師範專科學校,Qiqihar Higher Teachers College,,
齊齊哈爾工業學校,Qiqihar Industrial School,,
齊齊哈爾日語專修學校,Qiqihar Japanese Language School,,
齊齊哈爾女子國民高校,Qiqihar Women's National High School,,
啟秀女中,Qixiu Girls' High School,,
啟秀女學,Qixiu Girls' School,,
群治大學,Qunzhi University,,
鐵道學院,Railway Institute,,
正則預備學校,Regular prep school,,
正則學校,Regular school,,
瑞特大學,Reiter University,,
革命軍第二十四軍軍事政治學校,Revolutionary Army 24th Army Military and Political School,,
濱江工科學校,Riverside Engineering School,,
濱江法學院,Riverside Law School,,
濱江大學,Riverside University,,
路礦學堂,Road Mine School,,
如皋女子師範學校,Rugao Girls' Normal School,,
盧瑟福研究所石溪大學,Rutherford Institute Stony Brook University,,
三江省地方警察學校,Sanjiang Provincial Police School,,
醫學進修學院,School of Continuing Medicine,,
戲劇學院,School of Drama,,
與光學儀器學院,School of Optical Instruments,,
理化專科學校,School of Physics and Chemistry,,
熱帶衛生學院,School of Tropical Hygiene,,
數理專修學校,Science and Mathematics Specialized School,,
第七高等學校,Seventh Higher School,,
陜西省立師範專科學校,Shaanxi Provincial Teachers College,,
山東高等學堂,Shandong Higher Academy,,
山東省立第一師範學校,Shandong Provincial First Normal School,,
山東省立女子師範學校,Shandong Provincial Girls' Normal School,,
山東省立競進女校幼稚師範學校,Shandong Provincial Jingjin Girls' School Kindergarten Normal School,,
山東省立中學,Shandong Provincial Middle School,,
山東省立第一女子師範學校,Shandong Provincial No. 1 Normal School for Girls,,
山東省立第二女子師範學校,Shandong Provincial Second Girls' Normal School,,
山東公立農業專門學校,Shandong Public Agricultural College,,
山東公立商業專門學校,Shandong Public Commercial College,,
山東公立工業專門學校,Shandong Public Industrial College,,
山東公立醫學專門學校,Shandong Public Medical College,,
山東公立礦業專門學校,Shandong Public Mining College,,
山東公立法政專門學校,Shandong Public School of Law and Politics,,
山東鄉村建設學院,Shandong Rural Construction College,,
山東大學,Shandong University,,
山東文華女學校,Shandong Wenhua Girls' School,,
山東煙台甲種商業學校,Shandong Yantai Class A Commercial School,,
上海文學院,Shanghai Academy of Arts,,
上海美術專科學校,Shanghai Academy of Fine Arts,,
上海商學院,Shanghai Business School,,
上海廣方言館,Shanghai Cantonese Dialect Institute,,
上海商業專門學校,Shanghai Commercial College,,
上海文化學院,Shanghai Cultural Institute,,
上海海關稅務學校,Shanghai Customs Taxation School,,
上海電氣測量學堂,Shanghai Electric Measurement School,,
郵傳部立上海高等實業學堂,Shanghai Higher Industrial School,,
上海電學院,Shanghai Institute of Electrical Engineering,,
上海法政學院,Shanghai Institute of Law and Politics,,
上海新聞學院,Shanghai Journalism Institute,,
上海法學院,Shanghai Law School,,
上海雷氏德工程專科學院,Shanghai Lester Engineering College,,
上海國語模範學校,Shanghai Mandarin Model School,,
上海醫學院,Shanghai Medical College,,
上海市立工業專科學校,Shanghai Municipal Industrial College,,
上海市立體育專科學校,Shanghai Municipal Sports College,,
上海市立師範專科學校,Shanghai Municipal Teachers College,,
上海市立吳淞水產專科學校,Shanghai Municipal Wusong Fisheries College,,
上海音樂專科學校,Shanghai Music College,,
上海國民大學,Shanghai National University,,
上海兵工專門學校,Shanghai Ordnance Technical College,,
上海私立美術專門學校,Shanghai Private Art School,,
上海私立岡德產科學校,Shanghai Private Gund Obstetrics School,,
上海私立同德醫學專門學校,Shanghai Private Tongde Medical College,,
上海私立亞東醫科專門大學,Shanghai Private Yadong Medical University,,
三育大學,Shanghai Sanyu University,,
上海中法通惠商工學校,Shanghai Sino-French Tonghui Business School,,
上海技藝大學,Shanghai Technical University,,
上海臨大,Shanghai Temporary University,,
上海大學,Shanghai University,,
滬江商學院,Shanghai University Business School,,
上海法政大學,Shanghai University of Political Science and Law,,
上海藝術大學,Shanghai University of the Arts,,
上海中醫大學,Shanghai University of Traditional Chinese Medicine,,
上海韋治大學,Shanghai Wedge University,,
上海女子醫學院,Shanghai Women's Medical College,,
上海知行大學,Shanghai Zhixing University,,
上海中華高級商業學校,Shanghai Zhonghua Senior Business School,,
上海中山學院,Shanghai Zhongshan University,,
尚賢書院,Shangxian College,,
汕頭日語學院,Shantou Japanese Language Institute,,
山西高等師範學校,Shanxi Higher Normal School,,
山西教育學院,Shanxi Institute of Education,,
山西法學院,Shanxi Law School,,
山西武備學堂,Shanxi Military Academy,,
山西省立教育學院,Shanxi Provincial Education Institute,,
山西省立第一師範學校,Shanxi Provincial First Normal School,,
山西省立法政專門學校,Shanxi Provincial Institute of Political Science and Law,,
山西省立第一女子師範學校,Shanxi Provincial No. 1 Normal School for Girls,,
山西公立農業專門學校,Shanxi Public Agricultural College,,
山西公立商業專門學校,Shanxi Public Commercial College,,
山西公立工業專門學校,Shanxi Public Industrial College,,
山西公立法政專門學校,Shanxi Public School of Law and Politics,,
山西學兵團,Shanxi School Corps,,
山西太原女子師範學校,Shanxi Taiyuan Girls' Normal School,,
山西大學,Shanxi University,,
山西運城警校,Shanxi Yuncheng Police Academy,,
山右大學,Shanyou University,,
聖甸翰大學,Shengdianhan University,,
申江商業專門學校,Shenjiang Commercial Vocational School,,
申新公學,Shenshin Public School,,
沈陽醫學院,Shenyang Medical College,,
神州女學校,Shenzhou Girls' School,,
神州法政專門學校,Shenzhou Law and Politics Vocational School,,
神州大學,Shenzhou University,,
時化商專,Shihua Commercial School,,
支那學堂,Shina Academy,,
雙城師範講習所,Shuangcheng Teachers' Workshop,,
四川農學院,Sichuan Agricultural College,,
四川甲種工業學校,Sichuan Class A Industrial School,,
四川高等學堂,Sichuan Higher School,,
四川實業學校,Sichuan Industrial School,,
四川法政專門學校,Sichuan Institute of Political Science and Law,,
四川講武堂,Sichuan Lecture Hall,,
四川講武學校,Sichuan Military School,,
四川泯江大學,Sichuan Minjiang University,,
四川內江女子師範,Sichuan Neijiang Women's Normal School,,
四川省立教育學院,Sichuan Provincial Education College,,
四川省立第一師範學校,Sichuan Provincial First Normal School,,
四川省立第四師範學校,Sichuan Provincial Fourth Normal School,,
四川公立外國語專門學校,Sichuan Public Foreign Language College,,
四川公立工業專門學校,Sichuan Public Industrial College,,
四川公立法政專門學校,Sichuan Public School of Law and Politics,,
四川公立國學專門學校,Sichuan Public School of Sinology,,
四川大學,Sichuan University,,
四川誌城法政專門學校,Sichuan Zhicheng School of Law and Politics,,
矽酸鹽研究院,Silicate Research Institute,,
辛普森大學,Simpson University,,
中法工學院,Sino-French Institute of Technology,,
中法大學,Sino-French University,,
日華學院,Sino-Japanese College,,
東吳大學,Soochow University,,C
東方勞動者共產主義大學,Soochow University,,
華南女子文理學院,South China Women's Liberal Arts College,,
興安南省陸軍幼年學校,South Hinggan Army Infant School,,
南滿洲工業專門學校,South Manchuria Technical College,,
滿鐵公學堂,South Manchurian Railway Comapny College,,
川南經緯學堂,South Sichuan Jingwei School,,
東南醫學院,Southeast Medical College,,
東南體專等校,Southeast Sports School,,
東南女子體育師範學校,Southeast Women's Sports Normal School,,
東南女子體育專科學校,Southeast Women's Sports Vocational School,,
南方大學,Southern University,,
西南聯合大學,Southwest Associated University,,
西南聯大,Southwest Associated University,,
體育學校,Sports school,,
聖芳濟高等商業專科學校,St. Francis Xavier College of Business,,
聖瑪利亞女校,St. Mary's School for Girls,,
參謀學院,Staff College,,
石溪大學,Stony Brook University,,
潛艇兵,Submariner,,
綏化師範學校,Suihua Normal School,,
蘇鬆太道立龍門師范學堂,Sushongtai Road Longmen Normal School,,
蘇州中華體育專門學校,Suzhou Chinese Sports College,,
蘇州蕩口鎮華氏私立實用農業學校,Suzhou Dangkou Town Huashi Private Practical Agricultural School,,
蘇州醫學專門學校,Suzhou Medical College,,
蘇州大學,Suzhou University,,
蘇州女子師範學校,Suzhou Women's Normal School,,
敘利恩繪畫研究所,Syrian painting institute,,
台南神學校,Tainan Theological School,,
台北高等學校,Taipei high school,,
台北帝國大學,Taipei Imperial University,,
台北工業學院,Taipei Institute of Technology,,
台北醫學專門學校,Taipei Medical College,,
台灣省立農學院,Taiwan Provincial Agricultural College,,
台灣省立工學院,Taiwan Provincial Institute of Technology,,
台灣省立師範學院,Taiwan Provincial Teachers College,,
台灣大學,Taiwan University,,
唐山工業學校,Tangshan Industrial School,,
戰車學校,Tank school,,
塔郎脫高等林學院,Tarantau College of Higher Forestry,,
農産部茶場,Tea Farm of the Ministry of Agriculture,,
電信學校,Telecom School,,
滕縣美立華北學院,Tengxian Meili North China College,,
特志大學,Tezhi University,,
革命軍第二師教道團修,The Second Division of the Revolutionary Army,,
東三省軍士教道隊,Three Northeastern Province Sergeant Missionary Team,,
天津美術館附設西畫研究所,Tianjin Art Museum Western Painting Research Institute,,
天津商業學校,Tianjin Business School,,
天津棉業專門學校,Tianjin Cotton Industry College,,
天津華東日語專門學校,Tianjin East China Japanese Language College,,
天津高等師範學校,Tianjin Higher Normal School,,
天津弘德商科高級職業學校,Tianjin Hongde Business Advanced Vocational School,,
天津工商學院,Tianjin Industrial and Commercial College,,
天津法政專門學校,Tianjin Law and Politics College,,
天津醫學堂,Tianjin Medical School,,
天津海軍學校,Tianjin Naval Academy,,
天津新學書院,Tianjin New Knowledge Academy,,
天津新醫學校,Tianjin New Medical School,,
天津私立達生助產學校,Tianjin Private Dasheng Midwifery School,,
天津省立水產學校,Tianjin Provincial Fisheries School,,
天津公安局警察練習所,Tianjin Public Security Bureau Police Practice Center,,
天津工業專門學校,Tianjin Technical College,,
天津貞淑高等女學校,Tianjin Zhenshu High School for Girls,,
鐵嶺日語學堂,Tieling Japanese Language School,,
鐵嶺日語學校,Tieling Japanese School,,
鐵嶺師範學校,Tieling Normal School,,
鐵嶺協和學校,Tieling Union School,,
同德醫學院,Tongde Medical College,,
同濟大學,Tongji University,,
清華大學,Tsinghua University,,V
友聯學校,Union School,,
萬國齒科專校,Universal Dental School,,
香港大學,University of Hong Kong,,
瓦沙女子大學,Vassar Women's University,,
維多利亞大學,Victoria University,,
維斯特拉高級軍官學校,Vistra Senior Military Academy,,
王瑞嫻音樂館,Wang Ruixian Music Hall,,
皖江法政專門學校,Wanjiang College of Law and Politics,,
水利局立河海工程專門學校,Water Conservancy Bureau Li River and Sea Engineering College,,
維新學院,Weixin College,,
溫江大學,Wenjiang University,,
文生高等英文學校,Wensheng Higher English School,,
文治大學,Wenzhi University,,
溫州師範學校,Wenzhou Normal School,,
華西協合大學,West China Union University,,
華西大學,West China University,,
懷德女子師範學校,Wilder Girls' Normal School,,
維利弗治總醫院,Williford General Hospital,,
女子師範大學,Women's Normal University,,
女子師範學院,Women's Teachers College,,
半工半讀,Work and study program,,
武昌佛學院,Wuchang Buddhist College,,
武昌甲種工業學校,Wuchang Class A Industrial School,,
武昌國立商業專門學校,Wuchang National Commercial College,,
武昌商科大學,Wuchang School of Commerce,,
武昌大學,Wuchang University,,
武昌文華大學,Wuchang Wenhua University,,
武昌中華大學,Wuchang Zhonghua University,,
武漢大學,Wuhan University,,
武進縣立師范學校,Wujin County Normal School,,
吳淞中國公學大學部,Wusong China Public School University Department,,
吳淞水產學校,Wusong Fisheries School,,
吳淞復旦公學,Wusong Fudan Public School,,
吳淞商船學校,Wusong Merchant Shipping School,,
無錫美術專門學校,Wuxi Art College,,
無錫女子師範學校,Wuxi Girls' Normal School,,
無錫國術專修學校,Wuxi National Martial Arts Vocational School,,
無錫公立工商專科學校,Wuxi Public Business College,,
梧州幹部學校,Wuzhou Cadre School,,
梧州建道女子師範學校,Wuzhou Jiandao Girls' Normal School,,
湘雅醫學院,Xiangya Medical College,,
湘雅醫科大學,Xiangya Medical University,,
湘雅產科學校,Xiangya Obstetrics School,,
仙居縣立師範學校,Xianju County Normal School,,
西豐縣立高級師範學校,Xifeng County Senior Normal School,,
西康技藝專科學校,Xikang Technical College,,
興安軍官學校,Xing'an Military Academy,,
興安第一師範學校,Xing'an No. 1 Normal School,,
興安公學堂,Xing'an Public School,,
興津園藝試驗場,Xingjin Horticulture Test Field,,
新華藝專,Xinhua Art College,,
新華藝術專科學校,Xinhua Art Vocational School,,
新京文化商業學校,Xinjing Culture and Business School,,
新京文化國民高等學校,Xinjing Culture National High School,,
新京教員養成所,Xinjing Faculty Training Institute,,
新京工業學院,Xinjing Institute of Technology,,
新京留學生豫備學校,Xinjing International Students Preparatory School,,
新京公學校,Xinjing Public School,,
新京第二國民高等學校,Xinjing Second National High School,,
新民師範學校,Xinmin Normal School,,
新民大學,Xinmin University,,
新聲女子職業學校,Xinsheng Girls' Vocational School,,
新陽學院,Xinyang College,,
心遠大學,Xinyuan University,,
