Univ_ZhT_Srce;Univ_ZhT_Strd;Univ_Eng;Status_ZhT;Status_Eng;Eng_Source
奉天兩級師范;奉天兩級師范學校;Fengtian Two-level Normal School;;;
奉天兩集師范學校優級數理化科;奉天兩級師范學校;Fengtian Two-level Normal School;;;
奉天西安師範學校;奉天西安師範學校;Fengtian Xi'an Normal School;;;
奉天義縣師範陸軍教道隊;奉天義縣師範陸軍教道隊;Fengtianyi County Normal Army Teaching Team;;;
馮庸大學;馮庸大學;Fengyong University;;;
野戰炮校;野戰炮校;Field Artillery School;;;
第一高等學校;第一高等學校;First Higher School;;;
第一步兵學校;第一步兵學校;First Infantry School;;;
第一醫學院;第一醫學院;First medical school;;;
自然博物院魚類研究室;自然博物院魚類研究室;Fish Research Laboratory of Natural Museum;;;
輔仁大學;輔仁大學;Fu-jen University;;;
復旦附中復旦實驗中學;復旦實驗中學;Fudan Experimental High School;;;
上海復旦大學;復旦大學;Fudan University;;;
上海復旦大學商學院;復旦大學;Fudan University;;;
上海復旦大學教育學院;復旦大學;Fudan University;;;
上海復旦大學法學院;復旦大學;Fudan University;;;
上海復旦大學法學院政治系;復旦大學;Fudan University;;;
復旦大學商學院;復旦大學;Fudan University;;;
復旦大學商學院統計專修科;復旦大學;Fudan University;;;
復旦大學法學院;復旦大學;Fudan University;;;
福建國學專修學校;福建國學專修學校;Fujian Chinese Studies School;;;
福建集美學校;福建集美學校;Fujian Jimei School;;;
福建武備學堂;福建武備學堂;Fujian Military Academy;;;
福建水師學堂;福建水師學堂;Fujian Naval Academy;;;
福建省立農學院;福建省立農學院;Fujian Provincial Agricultural College;;;
福建省立第一女子師範學校;福建省立第一女子師範學校;Fujian Provincial First Girls' Normal School;;;
福建省立高等師範學校;福建省立高等師範學校;Fujian Provincial Higher Normal School;;;
福建省立工業職業學校;福建省立工業職業學校;Fujian Provincial Industrial Vocational School;;;
福建省立醫學院;福建省立醫學院;Fujian Provincial Medical College;;;
福建公立專門法政專門學校;福建公立法政專門學校;Fujian Public Law and Politics Vocational School;;;
福建法政專門學校;福建公立法政專門學校;Fujian Public Law and Politics Vocational School;;;
福建第二師教道團;福建第二師教道團;Fujian Second Teacher Mission;;;
福建船政學堂;福建船政學堂;Fujian Shipping School;;;
福建體育學校;福建體育學校;Fujian Sports School;;;
福建工業專門學校;福建工業專門學校;Fujian Technical College;;;
福建協和大學;福建協和大學;Fujian Union University;;;
福建學院;福建學院;Fujian University;;;
福建延平醫專;福建延平醫專;Fujian Yanping Medical College;;;
奉天省撫順縣警務局;奉天省撫順縣警務局;Fushun County Police Bureau;;;
撫順礦山學校;撫順礦山學校;Fushun Mining School;;;
輔延女子師範學校;輔延女子師範學校;Fuyan Girls' Normal School;;;
福州博濟會醫學講習所;福州博濟會醫學講習所;Fuzhou Boji Medical Seminar;;;
福州東贏學校;福州東贏學校;Fuzhou Dongying School;;;
福州格致書院;福州格致書院;Fuzhou Gezhi Academy;;;
福州南華大學;福州南華大學;Fuzhou Nanhua University;;;
福州海軍學校;福州海軍學校;Fuzhou Naval School;;;
蓋平縣立師範學校;蓋平縣立師範學校;Gaiping County Normal School;;;
蓋平公學校;蓋平公學校;Gaiping public school;;;
崗山第六高等學校;崗山第六高等學校;Gangshan Sixth High School;;;
甘肅省畜牧學校;甘肅省畜牧學校;Gansu Animal Husbandry School;;;
甘肅甲工學校;甘肅甲工學校;Gansu Jiagong School;;;
甘肅學院;甘肅學院;Gansu University;;;
格致書院;格致書院;Gezhi College;;;
上海正商中學;正商中學;Zhengshang Middle School;;;
鞏縣女子師範;鞏縣女子師範;Gongxian Women's Normal School;;;
大夏大學;大夏大學;Daxia University;;;
四川廣安縣立中學;廣安縣立中學;Guang'an County Middle School;;;
粵阿厚書院;粵阿厚書院;Guangdong Ahou College;;;
廣東陸軍講武堂;廣東陸軍講武堂;Guangdong Army Lecture Hall;;;
粵軍軍官講習所;粵軍軍官講習所;Guangdong Army Officers' Workshop;;;
廣東陸軍測量學校;廣東陸軍測量學校;Guangdong Army Survey School;;;
廣東甲種商業學校;廣東甲種商業學校;Guangdong Class A Business School;;;
廣東大沙頭航空學校;廣東大沙頭航空學校;Guangdong Dashatou Aviation School;;;
廣東方言館;廣東方言館;Guangdong Dialect Museum;;;
上海私立廣東小學;廣東小學;Guangdong Elementary School;;;
廣東守備軍幹部教道隊;廣東守備軍幹部教道隊;Guangdong Garrison Army Cadre Teaching Taoism Team;;;
廣東官立法政學堂特班;廣東官立法政學堂;Guangdong Government Law and Politics School;;;
廣東光華醫學院;廣東光華醫學院;Guangdong Guanghua Medical College;;;
廣東高等實業學校;廣東高等實業學校;Guangdong Higher Industrial School;;;
廣東高等警官學校;廣東高等警官學校;Guangdong Higher Police Academy;;;
廣東高等學堂;廣東高等學堂;Guangdong Higher School;;;
廣東江村師範學校;廣東江村師範學校;Guangdong Jiangcun Normal School;;;
廣東新聞學院;廣東新聞學院;Guangdong Journalism Institute;;;
廣東法官學校;廣東法官學校;Guangdong Judges School;;;
廣東地政工作人員養成所;廣東地政工作人員養成所;Guangdong Land Management Staff Training Institute;;;
廣東梅縣農業學校;廣東梅縣農業學校;Guangdong Meixian Agricultural School;;;
廣東軍官學校;廣東軍官學校;Guangdong Military Academy;;;
廣東軍事政治學校;廣東軍事政治學校;Guangdong Military Political School;;;
廣東軍警教練所;廣東軍警教練所;Guangdong Military Police Training Institute;;;
廣東軍事政治學校政治深造班;廣東軍事政治學校;Guangdong Military Political School;;;
廣東軍事政治學校政治深造班高級組;廣東軍事政治學校;Guangdong Military Political School;;;
廣東南越大學;廣東南越大學;Guangdong Nanyue University;;;
廣東國民大學;廣東國民大學;Guangdong National University;;;
廣東國民大學堂;廣東國民大學;Guangdong National University;;;
廣東國民大學法學院;廣東國民大學;Guangdong National University;;;
廣東海軍學校;廣東海軍學校;Guangdong Naval Academy;;;
廣東番禺師範學校;廣東番禺師範學校;Guangdong Panyu Normal School;;;
廣東培正學院;廣東培正學院;Guangdong Peizheng College;;;
廣東小學教員訓練所;廣東小學教員訓練所;Guangdong Primary School Teacher Training Institute;;;
廣東省立第一甲種工業學校;廣東省立第一甲種工業學校;Guangdong Provincial First Class A Industrial School;;;
廣東省立女子師範學校;廣東省立女子師範學校;Guangdong Provincial Girls' Normal School;;;
廣東省立工業專科學校;廣東省立工業專科學校;Guangdong Provincial Industrial College;;;
廣東省立工業學校;廣東省立工業專業學校;Guangdong Provincial Industrial Vocational School;;;
廣東肇府實業中學;廣東省立工業專業學校;Guangdong Provincial Industrial Vocational School;;;
廣東省立教忠學校;廣東省立教忠學校;Guangdong Provincial Jiaozhong School;;;
廣東省立勷勤大學;廣東省立勷勤大學;Guangdong Provincial Xiangqin University;;;
廣東省立警監專門學校;廣東省立警監專門學校;Guangdong Provincial Police Supervision School;;;
廣東省立勷勤商學院;廣東省立勷勤大學;Guangdong Provincial Xiangqin University;;;
廣東公立法政專門學校;廣東公立法政專門學校;Guangdong Public School of Law and Politics;;;
廣東順德浪華學院;廣東順德浪華學院;Guangdong Shunde Langhua College;;;
廣東台山縣立師範學校;廣東台山縣立師範學校;Guangdong Taishan County Normal School;;;
廣東協和大學;廣東協和大學;Guangdong Union University;;;
廣東無線電報學校;廣東無線電報學校;Guangdong Wireless Telegraph School;;;
廣東婦孺產科專門學校;廣東婦孺產科專門學校;Guangdong Women and Children Obstetrics Specialized School;;;
廣東耶教學堂;廣東耶教學堂;Guangdong Yale Church;;;
廣東肇慶舊制中學;廣東肇慶中學;Guangdong Zhaoqing Middle School;;;
廣東知用大學;廣東知用大學;Guangdong Zhiyong University;;;
上海光華大學;光華大學;Guanghua University;;;
上海公學高中;光華大學;Guanghua University;;;
上海兵工學校;光華大學;Guanghua University;;;
上海勞動大學;光華大學;Guanghua University;;;
上海私立光華大學;光華大學;Guanghua University;;;
光華大學商學院;光華大學;Guanghua University;;;
光華大學文學院;光華大學;Guanghua University;;;
廣濟縣舊制中學;廣濟縣中學;Guangji County Middle School;;;
廣濟縣立舊制中學;廣濟縣立中學;Guangji County Middle School;;;
廣文學堂;廣文學堂;Guangwen xuetang;;;
廣西航空運動學校;廣西航空運動學校;Guangxi Aviation Sports School;;;
廣西中央軍事第一分校;廣西中央軍事第一分校;Guangxi Central Military First Branch;;;
廣西高等學堂;廣西高等學堂;Guangxi Higher School;;;
廣西地方武裝團體訓練員養成所;廣西地方武裝團體訓練員養成所;Guangxi local armed group trainer training center;;;
廣西師範學校;廣西師範學校;Guangxi Normal School;;;
廣西省立醫學院;廣西省立醫學院;Guangxi Provincial Medical College;;;
廣西公立法政專門學校;廣西公立法政專門學校;Guangxi Public School of Law and Politics;;;
廣西大學;廣西大學;Guangxi University;;;
廣西大學法商院;廣西大學;Guangxi University;;;
廣雅書院;廣雅書院;Guangya College;;;
廣州高級會計學校;廣州高級會計學校;Guangzhou Advanced Accounting School;;;
廣州英文專門學校;廣州英文專門學校;Guangzhou English College;;;
廣州建華工程學校;廣州建華工程學校;Guangzhou Jianhua Engineering School;;;
廣州中學校;廣州中學;Guangzhou Middle School;;;
廣州市立商業專門學校;廣州市立商業專門學校;Guangzhou Municipal Commercial College;;;
廣州市立職業學校;廣州市立職業學校;Guangzhou Municipal Vocational School;;;
廣府中學;廣州府中學;Guangzhou Prefectural Middle School;;;
廣州私立美術學校;廣州私立美術學校;Guangzhou Private Art School;;;
廣州柔濟醫學校;廣州柔濟醫學校;Guangzhou Rouji Medical School;;;
廣州圖強產科專科學校;廣州圖強產科專科學校;Guangzhou Tuqiang Obstetrics College;;;
廣州大學;廣州大學;Guangzhou University;;;
廣大法專;廣州大學;Guangzhou University;;;
廣州獸醫牧畜學校;廣州獸醫牧畜學校;Guangzhou Veterinary Animal Husbandry School;;;
廣州夏葛醫科大學;廣州夏葛醫科大學;Guangzhou Xiage Medical University;;;
貴陽醫學院;貴陽醫學院;Guiyang Medical College;;;
貴州崇武學校;貴州崇武學校;Guizhou Chongwu School;;;
貴州法政專門學校;貴州法政專門學校;Guizhou Law and Politics College;;;
貴州講武堂;貴州講武堂;Guizhou Lecture Hall;;;
貴州軍官學校;貴州軍官學校;Guizhou Military Academy;;;
貴州省立女子師範學校;貴州省立女子師範學校;Guizhou Provincial Girls' Normal School;;;
貴州大學;貴州大學;Guizhou University;;;
上海私立國華中學;國華中學;Guohua Middle School;;;
海倫師範學校;海倫師範學校;Hailun Normal School;;;
上海私立海濤中學;海濤中學;Haitao Middle School;;;
上海涵德商校;涵德商校;Hande Business School;;;
上海東亞同文書院;東亞同文書院;Dobun sho-in;;;
杭州甲種工業學校;杭州甲種工業學校;Hangzhou Class A Industrial School;;;
杭州第一師範學校;杭州第一師範學校;Hangzhou No. 1 Normal School;;;
杭州私立弘道女學;杭州私立弘道女學;Hangzhou Private Hongdao Girls' School;;;
杭州高級英語學校;杭州高級英語學校;Hangzhou Senior English School;;;
杭州高級師範學校;杭州高級師範學校;Hangzhou Senior Normal School;;;
之江大學;之江大學;Hangzhou University;;;
漢口博學書院;漢口博學書院;Hankou Boxue Academy;;;
漢口明德大學;漢口明德大學;Hankou Mingde University;;;
湖北漢口心勉女子中學;漢口心勉女子中學;Hankou Xinmian Girls' Middle School;;;
浩然學校;浩然學校;Haoran School;;;
哈爾濱學院;哈爾濱學院;Harbin College;;;
哈爾濱大陸學院;哈爾濱大陸學院;Harbin Continental College;;;
哈爾濱高等警察學校;哈爾濱高等警察學校;Harbin Higher Police School;;;
哈爾濱工業大學;哈爾濱工業大學;Harbin Institute of Technology;;;
哈爾濱日語學校;哈爾濱日語學校;Harbin Japanese Language School;;;
哈爾濱法政大學;哈爾濱法政大學;Harbin Law and Political University;;;
哈爾濱龍江學院;哈爾濱龍江學院;Harbin Longjiang University;;;
哈爾濱醫學校;哈爾濱醫學校;Harbin Medical School;;;
哈爾濱鐵路學院;哈爾濱鐵路學院;Harbin Railway Institute;;;
哈爾濱俄文法專;哈爾濱俄文法專;Harbin Russian Grammar;;;
哈爾濱中俄工業大學;哈爾濱中俄工業大學;Harbin Sino-Russian University of Technology;;;
中國哈佛醫學院;中國哈佛醫學院;Harvard Medical School;;;
希敦飛機實驗學校;希敦飛機實驗學校;Hayden Aircraft Experimental School;;;
河北美術專門學校;河北美術專門學校;Hebei Academy of Fine Arts;;;
河北定縣平民教育專科學校;河北定縣平民教育專科學校;Hebei Dingxian Civilian Education College;;;
河北工業學院;河北工業學院;Hebei Institute of Technology;;;
河北法商學院;河北法商學院;Hebei Law and Business School;;;
河北醫學院;河北醫學院;Hebei Medical College;;;
河北第六女子師範學校;河北第六女子師範學校;Hebei No. 6 Girls' Normal School;;;
河北省立農學院;河北省立農學院;Hebei Provincial Agricultural College;;;
河北省立水產專科學校;河北省立水產專科學校;Hebei Provincial Fisheries College;;;
河南官立法政學堂;河南公立法政專門學校;Henan Public School of Law and Politics;;;
河北省立師範學校;河北省立師範學校;Hebei Provincial Normal School;;;
河北省立民眾教育實驗學校;河北省立民眾教育實驗學校;Hebei Provincial People's Education Experimental School;;;
河北省立第二職業學校;河北省立第二職業學校;Hebei Provincial Second Vocational School;;;
河北省立女子學院;河北省立女子學院;Hebei Provincial Women's College;;;
河北省立女子師範學院;河北省立女子師範學院;Hebei Provincial Women's Teachers College;;;
河北公立法政專門學校;河北公立法政專門學校;Hebei Public School of Law and Politics;;;
河北三女子師範文化裁縫學校;河北三女子師範文化裁縫學校;Hebei Three Girls Normal Culture Tailoring School;;;
河北大學;河北大學;Hebei University;;;
河北省立法商學院大學部經濟系;河北省立法商學院;Hebei Provincial Law and Business College;;;
黑龍江第一工科學校;黑龍江第一工科學校;Heilongjiang First Engineering School;;;
黑龍江第一女子師範學校;黑龍江第一女子師範學校;Heilongjiang No. 1 Girls' Normal School;;;
黑龍江省寧安師範專科學校;黑龍江省寧安師範專科學校;Heilongjiang Province Ning'an Teachers College;;;
黑龍江省立師範學校;黑龍江省立師範學校;Heilongjiang Provincial Normal School;;;
黑龍江省公立法政專門學校;黑龍江省公立法政專門學校;Heilongjiang Provincial School of Law and Politics;;;
河南福中礦務學校;河南福中礦務學校;Henan Fuzhong Mining School;;;
河南省焦作工學院;河南省焦作工學院;Henan Jiaozuo Institute of Technology;;;
河南師範學校;河南師範學校;Henan Normal School;;;
河南省立第一甲種工業學校;河南省立第一甲種工業學校;Henan Provincial First Class A Industrial School;;;
河南省立第一女子師範學校;河南省立第一女子師範學校;Henan Provincial First Girls' Normal School;;;
浙江公立法政學堂;浙江公立法政專門學校;Zhejiang Public School of Law and Politics;;;
浙江公立法政學校;浙江公立法政專門學校;Zhejiang Public School of Law and Politics;;;
河南省立第三師範學校;河南省立第三師範學校;Henan Provincial Third Normal School;;;
河南公立農業專門學校;河南公立農業專門學校;Henan Public Agricultural College;;;
河南一中;河南省立第一高中;Henan Provincial First High School;;;
河南公立法政專門學校;河南公立法政專門學校;Henan Public School of Law and Politics;;;
河南留學歐美預備學校;河南留學歐美預備學校;Henan study abroad in Europe and the United States;;;
河南大學;河南大學;Henan University;;;
河南水利工程專門學校;河南水利工程專門學校;Henan Water Conservancy Engineering College;;;
河南省衛輝高等專門法文學校;河南省衛輝高等專門法文學校;Henan Weihui Higher Specialized French School;;;
高等美術學校;高等美術學校;Higher Art School;;;
內政部警官學校;內政部警官學校;Minister of Interior Police School;;;
香港官立實業專科大學;香港官立實業專科大學;Hong Kong Government Polytechnic University;;;
香港法政學院;香港法政學院;Hong Kong Law School;;;
宏才大學;宏才大學;Hongcai University;;;
上海私立宏才大學;宏才大學;Hongcai University;;;
紅蘭女學校;紅蘭女學校;Honglan Girls' School;;;
紅旗空軍學院;紅旗空軍學院;Hongqi Air Force Academy;;;
黃埔軍校;黃埔軍校;Huangpu Military Academy;;;
華仁學院;華仁學院;Huaren College;;;
華亞預備學校;華亞預備學校;Huaya Preparatory School;;;
華洋汽車工程學校;華洋汽車工程學校;Huayang Automotive Engineering School;;;
華中美術專科學校;華中美術專科學校;Huazhong Academy of Fine Arts;;;
湖北陸軍軍醫學堂;湖北陸軍軍醫學堂;Hubei Army Military Medical School;;;
湖北官立法學堂;湖北官立法政學堂;Hubei Government Law and Politics School;;;
湖北法政學堂;湖北官立法政學堂;Hubei Government Law and Politics School;;;
湖北法政學堂蕃判員養成班;湖北官立法政學堂;Hubei Government Law and Politics School;;;
湖北高等農林學校;湖北高等農林學校;Hubei Higher Agriculture and Forestry School;;;
湖北教育學院;湖北教育學院;Hubei Institute of Education;;;
湖北師範學校;湖北師範學校;Hubei Normal School;;;
湖北私立法政專門學校;湖北私立法政專門學校;Hubei Private School of Law and Politics;;;
湖北省立高級商校;湖北省立高級商業學校;Hubei Provincial Advanced Commercial School;;;
湖北省立高級工業學校;湖北省立高級工業學校;Hubei Provincial Advanced Industrial School;;;
湖北第一師范;湖北省立第一師范;Hubei Provincial First Normal School;;;
湖北省立法政學校;湖北省立法政專門學校;Hubei Provincial Law and Politics Vocational School;;;
湖北省立法政專校;湖北省立法政專門學校;Hubei Provincial Law and Politics Vocational School;;;
湖北省立教育學院;湖北省立師范學校;Hubei Provincial Normal School;;;
湖北省立教育學院教育系;湖北省立師范學校;Hubei Provincial Normal School;;;
湖北省立警官學校;湖北省立警官學校;Hubei Provincial Police Academy;;;
湖北警官班;湖北省警官學校;Hubei Provincial Police Academy;;;
湖北警察專校;湖北省警官學校;Hubei Provincial Police Academy;;;
湖北警校;湖北省警官學校;Hubei Provincial Police Academy;;;
湖北統計班;湖北省統計班;Hubei Provincial Statistics Class;;;
湖北省立文科大學;湖北省立文科大學;Hubei Provincial University of Arts and Sciences;;;
湖北公立外國語專門學校;湖北公立外國語專門學校;Hubei Public Foreign Language College;;;
湖北省公立法政專門學校;湖北公立法政專門學校;Hubei Public Law and Politics Vocational School;;;
湖北省立法政大學;湖北省立法政大學;Hubei University of Law and Politics;;;
湖北文德書院;湖北文德書院;Hubei Wende Academy;;;
湖北武備學堂;湖北武備學堂;Hubei Wubei School;;;
上海滬海商專學校;滬海商專學校;Huhai Commercial Vocational School;;;
湖南孔道大學;湖南孔道大學;Hunan Kongdao University;;;
湖南樂群會計專門學校;湖南樂群會計專門學校;Hunan Lequn Accounting College;;;
湖南文藝書院;湖南文藝書院;Hunan Literature and Art Academy;;;
湖南機專;湖南機專;Hunan Machinery College;;;
湖南軍官學校;湖南軍官學校;Hunan Military Academy;;;
湖南講武堂;湖南陸軍講武堂;Hunan Military Academy;;;
湖南師范研究所;湖南師范;Hunan Normal University;;;
湖南私立群治法政學校;湖南私立群治法政專門學校;Hunan Private Qunzhi Law and Politics Vocational School;;;
湖南私立群治法政專校;湖南私立群治法政專門學校;Hunan Private Qunzhi Law and Politics Vocational School;;;
湖南群治大學;湖南私立群治法政專門學校;Hunan Private Qunzhi Law and Politics Vocational School;;;
湖南省立第一女子師範學校;湖南省立第一女子師範學校;Hunan Provincial First Girls' Normal School;;;
湖南省立第一工業學校;湖南省立第一工業學校;Hunan Provincial First Industrial School;;;
湖南省立第一師範學校;湖南省立第一師範學校;Hunan Provincial First Normal School;;;
湖南省立女子師範學校;湖南省立女子師範學校;Hunan Provincial Girls' Normal School;;;
湖南省立高等師範學校;湖南省立高等師範學校;Hunan Provincial Higher Normal School;;;
湖南省立第二師範學校;湖南省立第二師範學校;Hunan Provincial Second Normal School;;;
湖南第六中學;湖南省立第六中學;Hunan Provincial Sixth Middle School;;;
湖南公立工業專門學校;湖南公立工業專門學校;Hunan Public Industrial College;;;
湖南法政學堂;湖南公立法政專門學校;Hunan Public School of Law and Politics;;;
湖南法政專門學校;湖南公立法政專門學校;Hunan Public School of Law and Politics;;;
湖南公立法政專門學校;湖南公立法政專門學校;Hunan Public School of Law and Politics;;;
湖南高級職業學校;湖南高級職業學校;Hunan Senior Vocational School;;;
湖南大學;湖南大學;Hunan University;;;
湖南大學文法學院;湖南大學;Hunan University;;;
湖南大學法學院;湖南大學;Hunan University;;;
湖南大學軍校;湖南大學;Hunan University;;;
上海滬江大學;滬江大學;Shanghai College;;;
上海滬江大學文學院;滬江大學文學院;Hushu University School of Literature;;;
京師法律專門學堂;京師法律學堂;Imperial Law School of Beijing;;;
京師大學;京師大學堂;Imperial University of Beijing;;;
京師大學師范;京師大學堂;Imperial University of Beijing;;;
京師學堂;京師大學堂;Imperial University of Beijing;;;
茵城大學;茵城大學;Incheng University;;;
實業學校;實業學校;Industrial School;;;
步兵專校;步兵專校;Infantry Academy;;;
步兵學校;步兵學校;Infantry school;;;
核物理研究所;核物理研究所;Institute of Nuclear Physics;;;
熱帶醫學及衛生學研究院;熱帶醫學及衛生學研究院;Institute of Tropical Medicine and Hygiene;;;
國際大學中國學院;國際大學中國學院;International University Chinese College;;;
意奧蘭尼學校;意奧蘭尼學校;Iolani School;;;
陸軍士官學校;陸軍士官學校;Japanese Military Academy (Shikan gakko);;;
日德醫學院;日德醫學院;Japanese-German Medical School;;;
江南陸軍學堂;江南陸軍講武堂;Jiangnan Military Academy;;;
江都縣立師範學校;江都縣立師範學校;Jiangdu County Normal School;;;
江南高等學堂;江南高等學堂;Jiangnan Higher School;;;
江南法學院;江南法學院;Jiangnan Law School;;;
江寧府中學;江寧中學;Jiangning Middle School;;;
江南大學;江南大學;Jiangnan University;;;
江蘇省立甯屬優級師范;江蘇省立寧屬優級師范;Jiangsu Provincial Ningzhou Superior Normal School;;;
江蘇高等學堂;江蘇高等學堂;Jiangsu Higher School;;;
江蘇教育學院;江蘇教育學院;Jiangsu Institute of Education;;;
江蘇法政大學;江蘇法政大學;Jiangsu Law and Political University;;;
江蘇醫學院;江蘇醫學院;Jiangsu Medical College;;;
江蘇醫科大學;江蘇醫科大學;Jiangsu Medical University;;;
江蘇警官學校;江蘇警官學校;Jiangsu Police Academy;;;
江蘇省立農業學校;江蘇省立農業學校;Jiangsu Provincial Agricultural School;;;
江蘇省立商業學校;江蘇省立商業學校;Jiangsu Provincial Business School;;;
江蘇省立第二師范;江蘇省立第二師范學校;Jiangsu Provincial Second Normal School;;;
江蘇省立第五師范學校特設數理專科;江蘇省立第五師范學校;Jiangsu Provincial Fifth Normal School;;;
江蘇省第六中學;江蘇省立第六中學;Jiangsu Provincial Sixth Middle School;;;
江蘇省立第一商業學校;江蘇省立第一商業學校;Jiangsu Provincial First Commercial School;;;
江蘇省立水產學校;江蘇省立水產學校;Jiangsu Provincial Fisheries School;;;
江蘇省立第四師范本科;江蘇省立第四師范學校;Jiangsu Provincial Fourth Normal School;;;
江西工業學校;江西公立工業專校;Jiangxi Public Industrial School;;;
江蘇省立淮陰農業學校;江蘇省立淮陰農業學校;Jiangsu Provincial Huaiyin Agricultural School;;;
江蘇省立淮陰師範學校;江蘇省立淮陰師範學校;Jiangsu Provincial Huaiyin Normal School;;;
江蘇省立工業學校;江蘇省立工業學校;Jiangsu Provincial Industrial School;;;
江蘇省立常州中學高中部;江蘇省立常州中學;Jiangsu Provincial Changzhou Middle School;;;
江蘇省立師範學校;江蘇省立師範學校;Jiangsu Provincial Normal School;;;
江蘇省立民眾教育院;江蘇省立民眾教育院;Jiangsu Provincial People's Education Institute;;;
江蘇省立第二農業學校;江蘇省立第二農業學校;Jiangsu Provincial Second Agricultural School;;;
江蘇第五中學;江蘇省立第五中學;Jiangsu Provincial Fifth Middle School;;;
江蘇省立蠶絲專科學校;江蘇省立蠶絲專科學校;Jiangsu Provincial Silk College;;;
江蘇省第四中學;江蘇省立第四中學;Jiangsu Provincial Fourth Middle School;;;
江蘇省立蘇州農業學校;江蘇省立蘇州農業學校;Jiangsu Provincial Suzhou Agricultural School;;;
江蘇公立醫學專門學校;江蘇公立醫學專門學校;Jiangsu Public Medical College;;;
江蘇公立南京工業專門學校;江蘇公立南京工業專門學校;Jiangsu Public Nanjing Industrial College;;;
江蘇公立蘇州工業專門學校;江蘇公立蘇州工業專門學校;Jiangsu Public Suzhou Industrial College;;;
江西陸軍講武堂;江西陸軍講武堂;Jiangxi Army Lecture Hall;;;
江西高等學堂;江西高等學堂;Jiangxi Higher School;;;
江西九江但福德醫院護士學校;江西九江但福德醫院護士學校;Jiangxi Jiujiang Danford Hospital Nursing School;;;
河北大學文科;河北大學;Hebei University;;;
江西私立法政專門學校;江西私立法政專門學校;Jiangxi Private School of Law and Politics;;;
江西省立農藝專科學校;江西省立農藝專科學校;Jiangxi Provincial Agricultural College;;;
江西省立助產學院;江西省立助產學院;Jiangxi Provincial College of Midwifery;;;
江西省立第五師範學校;江西省立第五師範學校;Jiangxi Provincial Fifth Normal School;;;
江西省立第一師範學校;江西省立第一師範學校;Jiangxi Provincial First Normal School;;;
江西省立第一職業學校;江西省立第一職業學校;Jiangxi Provincial First Vocational School;;;
江西省立工業專科學校;江西省立工業專科學校;Jiangxi Provincial Industrial College;;;
江西省立醫學專科學校;江西省立醫學專科學校;Jiangxi Provincial Medical College;;;
江西省立鄉村師範學校;江西省立鄉村師範學校;Jiangxi Provincial Rural Normal School;;;
江西省立第七師範學校;江西省立第七師範學校;Jiangxi Provincial Seventh Normal School;;;
江西省立第六師範學校;江西省立第六師範學校;Jiangxi Provincial Sixth Normal School;;;
江西省立第三師範學校;江西省立第三師範學校;Jiangxi Provincial Third Normal School;;;
江西省立獸醫專科學校;江西省立獸醫專科學校;Jiangxi Provincial Veterinary College;;;
江西公立農業專門學校;江西公立農業專門學校;Jiangxi Public Agricultural College;;;
江西公立商業專門學校;江西公立商業專門學校;Jiangxi Public Commercial College;;;
江西官立法政學校;江西公立法政專門學校;Jiangxi Public Industrial School;;;
江西省法政專門學校;江西法政專門學校;Jiangxi Law and Politics Vocational School;;;
江西女子職業學校;江西女子職業學校;Jiangxi Women's Vocational School;;;
江陰縣立師範學校;江陰縣立師範學校;Jiangyin County Normal School;;;
上海交通大學;交通大學;Chiao-t'ung University;;;
交大鐵道管理學院;交通大學;Chiao-t'ung University;;;
交通大學北平分校;交通大學北京分校;Jiaotong University Beijing Branch;;;
交通大學唐山工學院;交通大學唐山工學院;Jiaotong University Tangshan Institute of Technology;;;
焦作工學院;焦作工學院;Jiaozuo Institute of Technology;;;
嘉義高工學校;嘉義高工學校;Jiayi High School of Technology;;;
嘉應大學;嘉應大學;Jiaying University;;;
朝陽大學法政講習所;朝陽大學;Chaoyang University;;;
朝陽大學附設法政講習所;朝陽大學;Chaoyang University;;;
吉長鐵路學校;吉長鐵路學校;Jichang Railway School;;;
吉林梨樹師範學校;吉林梨樹師範學校;Jilin Lishu Normal School;;;
吉林省立第一師範學校;吉林省立第一師範學校;Jilin Provincial First Normal School;;;
吉林省立第四師範學校;吉林省立第四師範學校;Jilin Provincial Fourth Normal School;;;
吉林省立女子師範學校;吉林省立女子師範學校;Jilin Provincial Girls' Normal School;;;
吉林省立工業學校;吉林省立工業學校;Jilin Provincial Industrial School;;;
吉林省立醫學校;吉林省立醫學校;Jilin Provincial Medical School;;;
吉林省立師範學校;吉林省立師範學校;Jilin Provincial Normal School;;;
吉林省公署警務廳;吉林省公署警務廳;Jilin Provincial Office Police Department;;;
吉林省立警官學校;吉林省立警官學校;Jilin Provincial Police Academy;;;
吉林省立第二師範學校;吉林省立第二師範學校;Jilin Provincial Second Normal School;;;
吉林省立第三師範學校;吉林省立第三師範學校;Jilin Provincial Third Normal School;;;
吉林公立法政專門學校;吉林公立法政專門學校;Jilin Public School of Law and Politics;;;
吉林同文工業學校;吉林同文工業學校;Jilin Tongwen Industrial School;;;
吉林大學;吉林大學;Jilin University;;;
濟南軍學;濟南軍學;Jinan Military Science;;;
暨南大學;暨南大學;Jinan University;;;
暨南大學商學院;暨南大學;Jinan University;;;
曁南大學;曁南大學;Jinan University;;;
金城女子專門學校;金城女子專門學校;Jincheng Girls' College;;;
金川江防軍軍官學校;金川江防軍軍官學校;Jinchuan River Defense Military Academy;;;
競立學校;競立學校;Jingli Institute;;;
